Unnamed: 0	title	artist	top genre	year	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	track.lyrics	artist.bio
401	NO	Meghan Trainor	dance pop	2016	92	80	56	-4	74	65	214	1	22	70	"[Intro]
I think it's so cute and I think it's so sweet
How you let your friends encourage you to try and talk to me
But let me stop you there, oh, before you speak

[Chorus]
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no, my number is no
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no

[Verse 1]
First you gonna say you ain't runnin' game
Thinkin' I'm believing every word
Call me beautiful, so original
Telling me I'm not like other girls
I was in my zone before you came along
Now I'm thinking maybe you should go
Blah, blah, blah
I be like nah to the ah to the no, no, no

[Pre-Chorus]
All my ladies, listen up
If that boy ain't giving up
Lick your lips and swing your hips
Girl, all you gotta say is

[Chorus]
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go
You need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Verse 2]
Thank you in advance, I don't wanna dance (Nope)
I don't need your hands all over me (No, no)
If I want a man, then I'ma get a man
But it's never my priority (Hey)
I was in my zone, before you came along
Don't want you to take this personal
Blah, blah, blah
I be like nah to the ah to the no, no, no

[Pre-Chorus]
All my ladies, listen up (All my ladies)
If that boy ain't giving up (Ain’t giving’ up)
Lick your lips and swing your hips (Hey, hey, let's go!)
Girl, all you gotta say is (Ooh)

[Chorus]
My name is no, my sign is no, my number is no, uh
You need to let it go, uh
You need to let it go, uh
Need to let it go, uh
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go
You need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Bridge]
I'm feeling
Untouchable, untouchable, uh
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Hey, hey, hey
(Nah to the ah to the no, no, no)
Sing it
Untouchable, untouchable (I'm feeling)
I'm feeling
Untouchable, untouchable (Untouchable)
I'm feeling
Untouchable, untouchable
I'm feeling
(Nah to the ah to the no, no, no)

[Pre-Chorus]
All my ladies, listen up (Say, all my ladies)
If that boy ain't giving up (Ain't giving up)
Lick your lips and swing your hips (No, no)
Girl all you gotta say is (No, no)

[Chorus]
My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
Need to let it go
Nah to the ah to the no, no, no
My name is no, my sign is no, my number is no
You need to let it go, you need to let it go
Need to let it go
Nah to the ah to the no, no, no

[Outro]
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Untouchable, untouchable
I'm feeling
Nah to the ah to the no, no, no

[Produced by Ricky Reed]"	"Meghan Elizabeth Trainor (born December 22, 1993 in Nantucket, Massachusetts, U.S.) is an American singer, songwriter, and producer. Trainor rose to prominence with her 2014 debut single ""All About That Bass"", which topped the U.S. Billboard Hot 100 for eight consecutive weeks and topped the charts in other countries such as Australia, New Zealand, Canada, Germany, and the United Kingdom.

At age 17, Trainor won the worldwide Sonicbids 2011 Tennessee Concerts Song Contest with her song ""You're Good With Me. <a href=""https://www.last.fm/music/Meghan+Trainor"">Read more on Last.fm</a>"
402	Kill Em With Kindness	Selena Gomez	dance pop	2016	120	88	76	-5	10	40	218	1	4	70	"[Verse 1]
The world can be a nasty place
You know it, I know it, yeah
We don’t have to fall from grace
Put down the weapons you fight with

[Chorus]
Kill 'em with kindness
Kill 'em with kindness
Kill 'em, kill 'em, kill 'em with kindness
Kill 'em with kindness
Kill 'em with kindness
Go ahead, go ahead, go ahead now

[Verse 2]
We’re running out of time
Chasing our lies
Everyday a small piece of you dies
Always somebody
You’re willing to fight, to be right

[Pre-Chorus]
Your lies are bullets
Your mouth's a gun
And no war in anger
Was ever won
Put out the fire before igniting
Next time you’re fighting

[Chorus]
Kill 'em with kindness
Kill 'em with kindness
Kill 'em, kill 'em, kill 'em with kindness
Kill 'em with kindness
Kill 'em with kindness
Go ahead, go ahead, go ahead now

[Bridge]
Go ahead, go ahead now
Go ahead, go ahead now

[Pre-Chorus]
Your lies are bullets
Your mouth's a gun
No war in anger
Was ever won
Put out the fire before igniting
Next time you’re fighting

[Chorus]
Kill 'em with kindness
Kill 'em with kindness
Kill 'em, kill 'em, kill 'em with kindness
Kill 'em with kindness
Kill 'em with kindness
Go ahead, go ahead, go ahead now

[Outro]
Go ahead, go ahead now
Go ahead, go ahead now
Go ahead, go ahead now"	"Selena Marie Gomez, born July 22, 1992 is an American actress and singer.

Gomez may have started her career as an actress starring in a Disney Channel series at the age of 15, but she soon showed that her musical talents were perhaps even stronger as she piled up hit singles and chart-topping albums. She grew up in Texas and got her first break as a cast member on the kids' TV show Barney and Friends. Gomez landed minor roles in several other TV programs <a href=""https://www.last.fm/music/Selena+Gomez"">Read more on Last.fm</a>"
403	Cool Girl	Tove Lo	dance pop	2016	102	69	67	-7	8	20	199	31	11	69	"[Verse 1]
You can run free, I won't hold it against ya
You do your thing, never wanted a future
Fuck if I knew how to put it romantic
Speaking my truth, there's no need to panic

[Pre-Chorus]
No, let's not put a label on it
Let's keep it fun
We don't put a label on it
So we can run free, yeah
I wanna be free like you

[Chorus]
I'm a, I'm a
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy

[Verse 2]
Rules you don't like, but you still wanna keep 'em
Said you were fine so for whatever reason
Sure we can chill, try and keep it platonic
Now you can't tell if I'm really ironic

[Pre-Chorus]
No, let's not put a label on it
Let's keep it fun
We don't put a label on it
So we can run free, yeah
I wanna be free like you

[Chorus]
I'm a, I'm a
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy

[Bridge]
I got fever highs
I got boiling blood
I'm that fire kind
We could burn together

[Chorus]
I'm a
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy
I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy

[Outro]
I'm a cool girl, I'm a, I'm a cool girl
Too cool for you
I'm a cool girl, I'm a, I'm a, I'm a, I'm a
I'm a, I'm a cool girl, I'm a, I'm a cool girl
Ice cold, I roll my eyes at you, boy"	"Crafting an idiosyncratic blend of pop influenced as much by '80s pop as by contemporary EDM and coupled with raw, brutally honest lyrics, Tove Lo made a name for herself as an award-winning performer and Grammy-nominated songwriter. Born Ebba Tove Elsa Nilsson on October 29, 1987 in a suburb of Stockholm, she began writing poetry and short stories at a young age. She went on to study at the famous Rytmus Musikergymnasiet -- a music-oriented high school comparable to the U. <a href=""https://www.last.fm/music/Tove+Lo"">Read more on Last.fm</a>"
404	Runnin' (Lose It All)	Naughty Boy	tropical house	2016	139	85	32	-6	48	8	213	1	8	69	"[Verse 1: Beyoncé]
These four lonely walls have changed the way I feel
The way I feel, I'm standing still
And nothing else matters now, you're not here
So where are you? I've been callin' you, I'm missin' you

[Pre-Chorus: Beyoncé]
Where else can I go? Where else can I go?
Chasin' you, chasin' you
Memories turn to dust, please don't bury us
I got you, I got you

[Chorus: Beyoncé]
Runnin', runnin', runnin', runnin'
Runnin', runnin', runnin'
Ain't runnin' from myself no more
Together we'll win it all
I ain't runnin', runnin', runnin', runnin'
Runnin', runnin', runnin'
Ain't runnin' from myself no more
I'm ready to face it all

[Post-Chorus: Beyoncé]
If I lose myself, I lose it all

[Verse 2: Arrow Benjamin]
I've outrun the fears that chased, they're standin' still
I'm runnin' still, I'm runnin' still
And every voice that cried inside my head, forever drives
Forever drives, I've killed the lights, oh

[Pre-Chorus: Arrow Benjamin]
Where else can I go? And where else can I go?
Chasing you, chasing you, oh

[Chorus: Arrow Benjamin + Beyoncé]
Runnin', runnin', runnin', runnin'
Runnin', runnin', runnin'
Ain't runnin' from myself no more
Together we'll win it all
I ain't runnin', runnin', runnin', runnin'
Runnin', runnin', runnin'
Ain't runnin' from myself no more
I'm ready to face it all

[Post-Chorus: Arrow Benjamin + Beyoncé]
If I lose myself, I lose it all
If I lose myself, I lose it all
If I lose myself, I lose it all
If I lose myself, I lose it all"	"1. Naughty Boy (real name Shahid Khan; born 1985) is a British songwriter, record producer, musician and rapper.

2. Naughty Boy, a side project from the German production team bass bumpers. Under this moniker they only released one single, ""Phat Beach (I'll Be Ready)"". <a href=""https://www.last.fm/music/Naughty+Boy"">Read more on Last.fm</a>"
405	Here	Alessia Cara	canadian contemporary r&b	2016	120	82	38	-4	8	33	199	8	10	68	"[Written by Alessia Cara & Sebastian Kole]
[Produced by Pop & Oak and Sebastian Kole]

[Intro]
I guess right now you've got the last laugh

[Verse 1]
I'm sorry if I seem uninterested
Or I'm not listenin', or, I'm indifferent
Truly I ain't got no business here
But since my friends are here, I just came to kick it
But really I would rather be at home all by myself
Not in this room
With people who don't even care about my well-being
I don't dance, don't ask, I don't need a boyfriend
So you can, go back, please enjoy your party
I'll be here
Somewhere in the corner
Under clouds of marijuana
With this boy who's hollering
I can hardly hear
Over this music I don't listen to
And I don't wanna get with you
So tell my friends that I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Verse 2]
Excuse me if I seem a little unimpressed with this
An anti-social pessimist, but usually I don't mess with this
And I know you mean only the best
And your intentions aren't to bother me
But honestly I'd rather be
Somewhere with my people
We can kick it and just listen to
Some music with a message, like we usually do
And we'll discuss our big dreams
How we plan to take over the planet
So pardon my manners
I hope you'll understand that I'll be here
Not there in the kitchen
With the girl who's always gossiping about her friends
So tell them I'll be here
Right next to the boy who's throwin' up
Cause he can't take what's in his cup no more
Oh God why am I here?

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Bridge]
Hours later congregatin' next to the refrigerator
Some girl talkin' 'bout her haters, she ain't got none
How did it ever come to this? I shoulda never come to this
So holla at me, I'll be in the car when you're done
I'm stand-offish, don't want what you're offerin'
And I'm done talkin', awfully sad it had to be that way
So tell my people when they're ready that I'm ready
And I'm standin' by the TV with my beanie low
Yo I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here"	"Alessia Cara (born Alessia Caracciolo on July 11, 1996) is a Canadian singer-songwriter from Brampton, Ontario, Canada. She is currently signed to EP Entertainment/Def Jam Recordings and is best known for Here, her debut single from her upcoming album. Prior to her work with EP Entertainment/Def Jam, Cara was known for her acoustic song covers on YouTube.

Born in Brampton, Ontario, she wrote poetry and did theater at a young age. At 10, she began playing guitar and taught herself how to play various songs. <a href=""https://www.last.fm/music/Alessia+Cara"">Read more on Last.fm</a>"
406	Perfect Illusion	Lady Gaga	dance pop	2016	125	86	61	-5	36	66	182	0	4	67	"[Verse 1]
Tryin' to get control
Pressure's takin' its toll
Stuck in the middle zone
I just want you alone
My guessing game is strong
Way too real to be wrong
Caught up in your show
Yeah, at least now I know

[Chorus]
It wasn't love, it wasn't love
It was a perfect illusion (Perfect illusion)
Mistaken for love, it wasn't love
It was a perfect illusion (Perfect illusion)
You were a perfect illusion

[Verse 2]
I don't need eyes to see
I felt you touchin' me
High like amphetamine
Maybe you're just a dream
That's what it means to crush
Now that I'm wakin' up
I still feel the blow
But at least now I know

[Chorus]
It wasn't love, it wasn't love
It was a perfect illusion (Perfect illusion)
Mistaken for love, it wasn't love
It was a perfect illusion (Perfect illusion)

[Bridge]
Where are you?
'Cause I can't see you
It was a perfect illusion
But I feel you watchin' me
Dilated, falling free
In a modern ecstasy
Where are you?
'Cause I can't see you
It was a perfect illusion
But I feel you watchin' me
But I feel you watchin' me
Illusion
But I feel you watchin' me
Mistaken for love
Where were you
'Cause I can't see
But I feel you watchin' me
Mistaken for love
Dilated, falling free
In a modern ecstasy
Mistaken for love
In a modern ecstasy
In a modern ecstasy

I'm over the show
Yeah at least now I know

[Chorus]
It wasn't love, it wasn't love
It was a perfect illusion (Perfect illusion)
Mistaken for love, it wasn't love
It was a perfect illusion (Perfect illusion)
You were a perfect illusion
You were a perfect illusion
It was a perfect illusion
Somewhere in all the confusion
It was a perfect illusion, illusion (illusion)

[Outro]
Where were you 'cause I can't see it
It was perfect illusion
But I feel you watchin' me, baby
Somewhere in all the confusion
Dilated, fallin' free
You were so perfect
In a modern ecstasy
You were a perfect illusion"	"Stefani Joanne Angelina Germanotta (born March 28, 1986), who performs under the stage name Lady Gaga, is a singer, songwriter, musician and actress from New York City, New York, United States.
Perhaps unsurprisingly given her flair for grand gestures, Lady Gaga has deep roots in drama. Gaga played piano as a child and pursued musical theater in high school, regularly auditioning for New York-based television shows, notably landing a background role for a 2001 episode of the highly successful show ""The Sopranos"". <a href=""https://www.last.fm/music/Lady+Gaga"">Read more on Last.fm</a>"
407	PILLOWTALK	ZAYN	dance pop	2016	125	70	59	-4	9	43	204	10	5	66	"[Verse 1]
Climb on board
We'll go slow and high tempo
Light and dark
Hold me hard and mellow

[Pre-Chorus]
I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you
I love to hold you close, tonight and always
I love to wake up next to you

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone

[Verse 2]
Pillow talk
My enemy, my ally
Prisoners
Then we're free, it's a thin line

[Pre-Chorus]
I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone

[Bridge]
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone"	"Zayn Malik is best known as one of the founding members of the boy-band-of-a-generation One Direction. Born Zain Javadd Malik on January 12, 1993 in the working-class town of Bradford in West Yorkshire, England, Zayn honed his vocal talents and stage command at a young age. Growing up as a mixed race Pakistani-English Muslim in a postindustrial British town presented some difficulties, which resulted in a number of primary school changes. His talents were eventually fostered at Tong High School <a href=""https://www.last.fm/music/Zayn"">Read more on Last.fm</a>"
408	Out Of The Woods	Taylor Swift	pop	2016	92	84	55	-7	34	34	236	0	4	66	"[Verse 1]
Looking at it now
It all seems so simple
We were lying on your couch
I remember
You took a Polaroid of us
Then discovered (Then discovered)
The rest of the world was black and white
But we were in screaming color
And I remember thinking

[Chorus]
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
(Are we out of the woods?)

[Verse 2]
Looking at it now
Last December (Last December)
We were built to fall apart
Then fall back together (Back together)
Your necklace hanging from my neck
The night we couldn't quite forget
When we decided, we decided
To move the furniture so we could dance
Baby, like we stood a chance
Two paper airplanes flying, flying, flying
And I remember thinking

[Chorus]
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
(Out of the woods)
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? (Oh) Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
(Are we out of the woods?)

[Bridge]
Remember when you hit the brakes too soon?
Twenty stitches in a hospital room
When you started crying, baby, I did too
But when the sun came up, I was looking at you
Remember when we couldn't take the heat?
I walked out and said, ""I'm setting you free""
But the monsters turned out to be just trees
When the sun came up, you were looking at me
You were looking at me, ooh
You were looking at me
(Are we out of the woods yet? Are we out of the woods yet?)
(Are we out of the woods yet? Are we out of the woods?)
I remember
(Are we in the clear yet? Are we in the clear yet?)
(Are we in the clear yet? In the clear yet? Good)
Oh, I remember

[Chorus]
Are we out of the woods yet? Are we out of the woods yet?
(Yeah)
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet? (Are we?)
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? (Yeah)
Are we in the clear yet? (Yeah)
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good
Are we out of the woods yet? Are we out of the woods yet?
Are we out of the woods yet? Are we out of the woods?
Are we in the clear yet? Are we in the clear yet?
Are we in the clear yet? In the clear yet? Good"	"Taylor Alison Swift (born December 13, 1989 in Wyomissing, Pennsylvania) is an American singer-songwriter and actress. Swift is a 10-time Grammy winner with a total of 31 nominations (Feb 2018).  As of July 2015, Swift has sold 40 million albums and 130 million singles worldwide.

Taylor Swift is that rarest of pop phenomena: a superstar who managed to completely cross over from country to the mainstream. Other singers performed similar moves -- notably <a href=""https://www.last.fm/music/Taylor+Swift"">Read more on Last.fm</a>"
409	Rise	Katy Perry	dance pop	2016	101	64	55	-6	11	44	203	5	5	66	"[Verse 1]
I won't just survive
Oh, you will see me thrive
Can write my story
I'm beyond the archetype
I won't just conform
No matter how you shake my core
’Cause my roots, they run deep, oh

[Pre-Chorus 1]
(Oh, ye of so little faith)
Don't doubt it, don't doubt it
(Victory is in my veins)
I know it, I know it
(And I will not negotiate)
I'll fight it, I'll fight it
I will transform

[Chorus]
When, when the fire's at my feet again
And the vultures all start circling
They're whispering, ”You're out of time.”
But still, I rise
This is no mistake, no accident
When you think the final nail is in; think again
Don't be surprised, I will still rise

[Verse 2]
I must stay conscious
Through the madness and chaos
So I call on my angels
They say...

[Pre-Chorus 2]
(Oh, ye of so little faith)
Don't doubt it, don't doubt it
(Victory is in your veins)
You know it, you know it
And you will not negotiate
Just fight it, just fight it
And be transformed

[Chorus]
’Cause when, when the fire's at my feet again
And the vultures all start circling
They're whispering, “You're out of time.”
But still, I rise
This is no mistake, no accident
When you think the final nail is in; think again
Don't be surprised, I will still rise

[Outro]
(Don't doubt it, don't doubt it)
Oh, oh, oh, oh
(You know it, you know it)
Still rise
(Just fight it, just fight it)
Don't be surprised, I will still rise"	"Katy Perry (born Katheryn Elizabeth Hudson, October 25, 1984) is a singer/songwriter from Santa Barbara, California, United States. Perry's success was so sudden in 2008 it seemed as if she was an overnight success when the opposite was true. Daughter of Pentecostal pastors, Katy was raised by born-again parents and was initially attracted to gospel music, sometimes sneaking pop music in to balance the inspirational tunes, but when she first started singing it was in the church. <a href=""https://www.last.fm/music/Katy+Perry"">Read more on Last.fm</a>"
410	Wherever I Go	OneRepublic	dance pop	2016	100	69	55	-6	27	35	170	9	4	66	"[Chorus]
I know I could lie but I’m telling the truth
Wherever I go there’s a shadow of you
I know I could try looking for something new
But wherever I go, I'll be looking for you

[Verse 1]
Some people lie but they're looking for magic
Others are quietly going insane
I feel alive when I’m close to the madness
No easy love could ever make me feel the same

[Chorus 2]
I know I could lie, but I won't lie to you
Wherever I go, you're the ghost in the room
I don't even try looking for something new
Cause wherever I go, I'll be looking for you

[Verse 2]
Some people try but they can't find the magic
Others get down on their knees and they pray
I come alive when I’m close to the madness
No easy love could ever make me feel the same
Make me feel the same
Make me feel the same, same, same

[Chorus]
I know I could lie but I’m telling the truth
Wherever I go there’s a shadow of you
I know I could try looking for something new
But wherever I go, I'll be looking for you
Wherever I go, I'll be looking for you, you

[Bridge]
Some people pray to their god for some magic
Cause no easy love could ever make them feel the same
No easy love could ever make me feel the same
Make me feel the same, same, same

[Chorus]
I know I could lie but I’m telling the truth
Wherever I go there’s a shadow of you
I know I could try looking for something new
But wherever I go, I'll be looking for you

[Outro]
You think it's a lie when I'm telling the truth
Wherever I go, I'll be looking for you
Wherever I go, I'll be looking for you
Looking for you, looking for you, ah"	"OneRepublic is an American, self-proclaimed ""genreless"", band formed in Colorado Springs in 2002 by Ryan Tedder and Zach Filkins. After a few years of moderate success, they have since drawn mainstream attention with the release of their single ""Apologize,"" which has sold in excess of 7 million singles worldwide.  The song, according to SoundScan Data, is one of only two songs that have reached 3 million legal downloads in history.  A remix of ""Apologize"" was featured on Timbaland's Shock Value and the band's debut album <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>"
411	Body Say	Demi Lovato	dance pop	2016	87	74	63	-5	28	26	194	0	4	65	"[Verse 1]
If I had it my way, I would take you down
If I had it my way, I would turn you out
And if my body had a say, I would come again
Scared of what I might say, cause I'm at the edge

[Pre-Chorus]
And our eyes are crossing paths across the room (Ooh)
There's only one thing left for us to do

[Chorus]
You can touch me with slow hands
Speed it up, baby, make me sweat
Dreamland, take me there cause I want your sex
If my body had a say, I wouldn't turn away
Touch, make love, taste you
If my body told the truth, baby I would do
Just what I want to

[Verse 2]
If I had it my way, I would take the lead
And if I had it my way, I would take you deep
If my body had a say, I'd get it off my chest
Show you all the red lace underneath this dress

[Pre-Chorus]
And our eyes are crossing paths across the room (Ooh)
There's only one thing left for us to do

[Chorus]
You can touch me with slow hands
Speed it up, baby, make me sweat
Dreamland, take me there cause I want your sex
If my body had a say, I wouldn't turn away
Touch, make love, taste you
If my body told the truth, baby I would do
Just what I want to

[Bridge]
My mind's getting in the way
Can't feel what my body say
I'mma tell you anyway
I'mma tell you anyway
My mind's getting in the way
Can't feel what my body say
I'mma show you anyway
I'mma show you anyway

[Pre-Chorus]
There's only one thing left for us to do
Oh, you can

[Chorus]
You can touch me with slow hands (Yeah)
Speed it up, baby, make me sweat
Dreamland, take me there cause I want your sex
If my body had a say (Body had a say), I wouldn't turn away
Touch, make love, taste you
If my body told the truth, baby I would do
Just what I want to
You can touch me with slow hands (Hands)
Dreamland (Land)
If my body had a say, I wouldn't turn away
Touch, make love, taste you
If my body told the truth, baby I would do
Just what I want to (Want to, want to, want to)"	"Demi Lovato (born Demetria Devonne Lovato; August 20, 1992 in Albuquerque, New Mexico, United States) is an American singer, songwriter, philanthropist, and actress.

Within a few short years, Lovato went from a Disney starlet to a pop star with many hit singles to her credit, a judge position on the U.S. version of Simon Cowell's popular talent search show The X Factor, and a spokesperson for mental-health issues. She was raised in a household that included her mother (a former Dallas Cowboys Cheerleader) and her two sisters <a href=""https://www.last.fm/music/Demi+Lovato"">Read more on Last.fm</a>"
412	Don't Be A Fool	Shawn Mendes	canadian pop	2016	175	34	47	-6	10	27	216	60	4	65	"[Verse 1]
You've got my heart, but I can't let you keep it, babe
'Cause I won't be sure that I can stay
And don't waste your time trying to pull me in
'Cause I'm just a mess you don't wanna fix
Just promise me one thing that you won't forget
But for now, kiss me softly before I say

[Chorus]
And don't be a fool
And wait on me, darling
I know that you don't wanna hear this
But I'm always on the move
And don't be a fool
And say that you love me
'Cause you'll find a man who will stand by your side
And will be there for you

[Verse 2]
And just know that I do, oh I really like you, babe
And I wanna be there for you, for the rest of your days
But I know that you'll hurt if we keep on doing this
So I'm sorry to end this now, but I know that it's for the best

[Chorus]
Don't be a fool
And wait on me, darling, yeah
I know that you don't wanna hear this
But I'm always on the move
And don't be a fool, yeah
And say that you love me
'Cause you'll find a man who will stand by your side
And will be there for you

[Bridge]
I don't think you'll ever understand
I don't think you'll ever understand
I know that you don't wanna hear this
But darling, please don't be a fool

[Chorus]
Oh, don't be a fool, yeah
And wait on me, darling
I know that you don't wanna hear this
But I'm always on the move, yeah, oh
Just don't be a fool, yeah
And say that you love me, girl
'Cause you'll find a man who will stand by your side
And will be there for you

[Outro]
And don't be a fool
And wait on me, darling
I know that you don't wanna hear this
But don't be a fool"	"Shawn Mendes (born Shawn Peter Raul Mendes; August 8, 1998 in Toronto, Ontario, Canada) is a Canadian singer-songwriter. After posting a series of his cover versions to various video-sharing sites, Mendes earned a dedicated following of viewers. His mix of Ed Sheeran and Justin Bieber's styles also appealed to Island Records, who signed Mendes in 2014. That same year they released the then-15-year-old's debut single, ""Life of the Party."" American radio initially ignored it <a href=""https://www.last.fm/music/Shawn+Mendes"">Read more on Last.fm</a>"
413	LIKE I WOULD	ZAYN	dance pop	2016	113	83	56	-6	26	23	192	2	11	65	"[Verse 1]
Hey what's up? It's been a while
Talking 'bout it's not my style
Thought I'd see what's up, while I'm lighting up
It's cold-hearted, cold-hearted
Know it's late, but I'm so wired
Saw your face and got inspired
Guess you let it go, now you're good to go
It's cold-hearted, cold-hearted

[Pre-Chorus]
Oh, oh, it's probably gonna sound wrong
Promise it won't last long
Oh, oh, if we can never go back
Thought you'd like to know that

[Chorus]
He, won't touch you like I do
He, won't love you like I would
He don't know your body
He don't do you right
He won't love you like I would
Love you like I would

[Verse 2]
It's okay to want me, 'cause I want you
Been thinkin' it over, but I'm through
So stop wasting all my time, messing with my mind
It's cold-hearted, cold-hearted

[Pre-Chorus]
Oh, oh, it's probably gonna sound wrong
Promise it won't last long
Oh, oh, if we can never go back
Thought you'd like to know that

[Chorus]
He, won't touch you like I do
He, won't love you like I would
He don't know your body
He don't do you right
He won't love you like I would
Love you like I would, like I would
He, won't touch you like I do
He, won't love you like I would
He don't know your body
He don't do you right
He won't love you like I would
Love you like I would, like I would

[Bridge]
He can't love you like I would
He can't love you like I could
He don't know your body
He don't know your body

[Chorus]
He, won't touch you like I do
He, won't love you like I would
He don't know your body
He don't do you right
He won't love you like I would
Love you like I would, like I would
He, won't touch you like I do
He, won't love you like I would
He don't know your body
He don't do you right
He won't love you like I would
Love you like I would, like I would"	"Zayn Malik is best known as one of the founding members of the boy-band-of-a-generation One Direction. Born Zain Javadd Malik on January 12, 1993 in the working-class town of Bradford in West Yorkshire, England, Zayn honed his vocal talents and stage command at a young age. Growing up as a mixed race Pakistani-English Muslim in a postindustrial British town presented some difficulties, which resulted in a number of primary school changes. His talents were eventually fostered at Tong High School <a href=""https://www.last.fm/music/Zayn"">Read more on Last.fm</a>"
